root_directory=/gpfs/home/gdb20/code/input_macros/temp/
job_basename|job_directory|program
h2o2_b3lyp_6-311+Gdp||Gaussian
h2o2_b3lyp_6-311++Gdp||Gaussian
h2o2_b3lyp_6-31+Gdp||Gaussian
h2o2_b3lyp_6-31++Gdp||Gaussian
h2o2_m06-2x_6-311+Gdp||Gaussian
h2o2_m06-2x_6-311++Gdp||Gaussian
h2o2_m06-2x_6-31+Gdp||Gaussian
h2o2_m06-2x_6-31++Gdp||Gaussian
h2o2_m08-hx_6-311+Gdp||Gaussian
h2o2_m08-hx_6-311++Gdp||Gaussian
h2o2_m08-hx_6-31+Gdp||Gaussian
h2o2_m08-hx_6-31++Gdp||Gaussian
h2o2_pbepbe_6-311+Gdp||Gaussian
h2o2_pbepbe_6-311++Gdp||Gaussian
h2o2_pbepbe_6-31+Gdp||Gaussian
h2o2_pbepbe_6-31++Gdp||Gaussian
oh_radical_b3lyp_6-311+Gdp||Gaussian
oh_radical_b3lyp_6-311++Gdp||Gaussian
oh_radical_b3lyp_6-31+Gdp||Gaussian
oh_radical_b3lyp_6-31++Gdp||Gaussian
oh_radical_m06-2x_6-311+Gdp||Gaussian
oh_radical_m06-2x_6-311++Gdp||Gaussian
oh_radical_m06-2x_6-31+Gdp||Gaussian
oh_radical_m06-2x_6-31++Gdp||Gaussian
oh_radical_m08-hx_6-311+Gdp||Gaussian
oh_radical_m08-hx_6-311++Gdp||Gaussian
oh_radical_m08-hx_6-31+Gdp||Gaussian
oh_radical_m08-hx_6-31++Gdp||Gaussian
oh_radical_pbepbe_6-311+Gdp||Gaussian
oh_radical_pbepbe_6-311++Gdp||Gaussian
oh_radical_pbepbe_6-31+Gdp||Gaussian
oh_radical_pbepbe_6-31++Gdp||Gaussian
