Error: segmentation violation
   rax 0000000000000000, rbx ffffffffffffffff, rcx 000014a8d59344bb
   rdx 0000000000000000, rsp 00007ffc4396e128, rbp 00007ffc4396e6a0
   rsi 000000000000000b, rdi 0000000000113b0c, r8  0000000080001000
   r9  00007ffc4396d838, r10 0000000000000007, r11 0000000000000206
   r12 00007ffc4396e6e8, r13 0000000000000000, r14 0000000000000000
   r15 00000000000003e6
  /lib64/libpthread.so.0(+0x12ce0) [0x14a8d606ace0]
  /lib64/libc.so.6(kill+0xb) [0x14a8d59344bb]
  /gpfs/research/software/gaussian16/amd/g16/l301.exe() [0x628920]
  /gpfs/research/software/gaussian16/amd/g16/l301.exe() [0x647981]
  /gpfs/research/software/gaussian16/amd/g16/l301.exe() [0x6c1487]
  /gpfs/research/software/gaussian16/amd/g16/l301.exe() [0x408897]
  /gpfs/research/software/gaussian16/amd/g16/l301.exe() [0x404910]
  /gpfs/research/software/gaussian16/amd/g16/l301.exe() [0x40484b]
  /lib64/libc.so.6(__libc_start_main+0xf3) [0x14a8d594bcf3]
  /gpfs/research/software/gaussian16/amd/g16/l301.exe(sched_setaffinity+0xc1) [0x404779]
